driver_id,delivery_distance_meters
6228.0,297791.0
6251.0,1046547.0
6252.0,1306552.0
6258.0,137929.0
6310.0,10840.0
6312.0,149656.0
6326.0,26381.0
6327.0,117873.0
6350.0,53577.0
6361.0,199562.0
6379.0,7806.0
6394.0,6292.0
6397.0,83629.0
6436.0,303853.0
6514.0,63751.0
6516.0,454957.0
6536.0,135882.0
6558.0,532495.0
6559.0,18978.0
6562.0,6928.0
6571.0,118791.0
6573.0,1452.0
6616.0,3230.0
6624.0,34526.0
6632.0,2905.0
6638.0,23467.0
6646.0,1521670.0
6656.0,911851.0
6657.0,1256578.0
6662.0,550215.0
6667.0,368.0
6675.0,495335.0
6683.0,116864.0
6687.0,274850.0
6707.0,71404.0
6714.0,28657.0
6718.0,201385.0
6723.0,51132.0
6726.0,351530.0
6735.0,2982.0
6742.0,12966.0
6748.0,27850.0
6755.0,82210.0
6774.0,276974.0
6781.0,49067.0
6789.0,132169.0
6790.0,26595.0
6791.0,18774.0
6793.0,17843.0
6805.0,49547.0
6837.0,12518.0
6857.0,7772.0
6863.0,75958.0
6864.0,12093.0
6878.0,183471.0
6880.0,390880.0
6881.0,110540.0
6893.0,67523.0
6904.0,331900.0
6925.0,243267.0
6934.0,37837.0
6949.0,8515.0
6952.0,2890235.0
6974.0,36157.0
6976.0,43376.0
6979.0,301076.0
6987.0,158770.0
7033.0,2477713.0
7045.0,80689.0
7060.0,4846.0
7085.0,41302.0
7090.0,217712.0
7096.0,354679.0
7108.0,193831.0
7111.0,32469.0
7139.0,673.0
7170.0,295755.0
7226.0,761791.0
7235.0,1617950.0
7239.0,7205.0
7247.0,21135.0
7249.0,146851.0
7258.0,149494.0
7263.0,35243.0
7271.0,1431.0
7280.0,43502.0
7281.0,145596.0
7284.0,12831.0
7297.0,3812.0
7313.0,40514.0
7319.0,111445.0
7322.0,1010.0
7326.0,109633.0
7335.0,37976.0
7336.0,542691.0
7339.0,588803.0
7349.0,79460.0
7362.0,500169.0
7364.0,40282.0
7381.0,46041.0
7385.0,1343687.0
7388.0,26187.0
7396.0,1245738.0
7397.0,149495.0
7399.0,237930.0
7419.0,9353.0
7431.0,12725.0
7432.0,4056.0
7451.0,3553855.0
7452.0,26958.0
7456.0,1357961.0
7467.0,108439.0
7468.0,687443.0
7472.0,13659.0
7479.0,2666.0
7480.0,2500547.0
7492.0,235766.0
7511.0,44183.0
7517.0,34147.0
7524.0,39936.0
7528.0,6495.0
7542.0,30211.0
7549.0,3101595.0
7552.0,436170.0
7562.0,536628.0
7563.0,15309.0
7606.0,13336.0
7615.0,3280119.0
7638.0,719445.0
7640.0,924.0
7641.0,45314.0
7650.0,12889.0
7654.0,17477.0
7655.0,61222.0
7661.0,4084.0
7673.0,26229.0
7686.0,618537.0
7702.0,3292.0
7705.0,79249.0
7716.0,1274937.0
7727.0,4116.0
7736.0,201112.0
7739.0,7581.0
7741.0,3581.0
7754.0,3407461.0
7761.0,615710.0
7763.0,108506.0
7765.0,72988.0
7767.0,548987.0
7773.0,621958.0
7774.0,157150.0
7780.0,615060.0
7783.0,668048.0
7789.0,81971.0
7790.0,12256.0
7798.0,1474499.0
7799.0,2711162.0
7835.0,27234.0
7844.0,45265.0
7847.0,1155.0
7850.0,98123.0
7857.0,78229.0
7868.0,53278.0
7884.0,17937.0
7886.0,5925.0
7896.0,110301.0
7903.0,668282.0
7907.0,170607.0
7930.0,1259051.0
7932.0,8642.0
7937.0,43317.0
7938.0,57655.0
7953.0,122373.0
7956.0,113093.0
7958.0,54416.0
7977.0,58326.0
7995.0,269536.0
8009.0,140951.0
8013.0,3394.0
8024.0,148895.0
8025.0,121939.0
8060.0,960885.0
8091.0,322143.0
8092.0,44621.0
8102.0,1379159.0
8122.0,64719.0
8128.0,4997.0
8133.0,1830250.0
8149.0,24054.0
8161.0,6754.0
8182.0,1420309.0
8191.0,70631.0
8193.0,1093360.0
8224.0,2308.0
8226.0,92090.0
8231.0,5357.0
8266.0,1296251.0
8276.0,351137.0
8289.0,142572.0
8301.0,12648.0
8302.0,24534.0
8314.0,5064.0
8315.0,170129.0
8326.0,11640.0
8338.0,121236.0
8378.0,1541055.0
8434.0,380382.0
8456.0,185651.0
8467.0,16023.0
8498.0,2143.0
8510.0,2413.0
8514.0,4273.0
8521.0,302789.0
8529.0,50465.0
8531.0,1058487.0
8588.0,3890.0
